Штрихкод;ID;Артикул;Наименование;Единица;Коэффициент;
2000002512714;007891     ;;Финдет ARH-52 (Findet ARH-52, гидрогенез касторовое масло ПЭГ-40);кг;1;
2000002416395;007924     ;;Акиппо фоам (аkypo foam RL40, лаурет 5 карбоксилат, Акипо Фоам);кг;1;
;008010     ;OT.3; Крем-бальзам OTIUM ОТ.3, кг;кг;1;
;008106     ;OT.1; Крем-шампунь OTIUM ОТ.1, кг;кг;1;
;008399     ;OT.2; Крем-шампунь OTIUM ОТ.2, кг;кг;1;
;008400     ;OT.4; Бальзам серебристый OTIUM ОТ.4, кг;кг;1;
2000002417149;008509     ;;Копирокс;кг;1;
2000002417163;008562     ;;Кублен К60;кг;1;
;008590     ;111;"Основа ""Эстель"" тон 111 черный";кг;1;
;008591     ;115;"Основа ""Эстель"" тон 115 темно-русый";кг;1;
;008594     ;116;"Основа ""Эстель"" тон 116 натурально-русый";кг;1;
;008595     ;118;"Основа ""Эстель"" тон 118 яркий блондин";кг;1;
;008596     ;124;"Основа ""Эстель"" тон 124 пепельный";кг;1;
;008597     ;127;"Основа ""Эстель"" тон 127 жемчужный блондин";кг;1;
;008598     ;128;"Основа ""Эстель"" тон 128 полярно-серебристый";кг;1;
;008599     ;131;"Основа ""Эстель"" тон 131 мокко";кг;1;
;008600     ;132;"Основа ""Эстель"" тон 132 шоколадно-коричневый";кг;1;
;008601     ;133;"Основа ""Эстель"" тон 133 золотисто-коричневый";кг;1;
;008602     ;134;"Основа ""Эстель"" тон 134 коньяк";кг;1;
;008603     ;135;"Основа ""Эстель"" тон 135 лесной орех";кг;1;
;008604     ;138;"Основа ""Эстель"" тон 138 бежевый блондин";кг;1;
;008605     ;141;"Основа ""Эстель"" тон 141 темный каштан";кг;1;
;008606     ;142;"Основа ""Эстель"" тон 142 каштан";кг;1;
;008607     ;144;"Основа ""Эстель"" тон 144 красное дерево";кг;1;
;008608     ;145;"Основа ""Эстель"" тон 145 рубин";кг;1;
;008609     ;146;"Основа ""Эстель"" тон 146 гранат";кг;1;
;008610     ;147;"Основа ""Эстель"" тон 147 тициан";кг;1;
;008611     ;148;"Основа ""Эстель"" тон 148 медный";кг;1;
;008612     ;149;"Основа ""Эстель"" тон 149 медно-рыжий";кг;1;
;008613     ;153;"Основа ""Эстель"" тон 153 баклажан";кг;1;
;008614     ;154;"Основа ""Эстель"" тон 154 божоле";кг;1;
;008615     ;155;"Основа ""Эстель"" тон 155 темная вишня";кг;1;
;008616     ;156;"Основа ""Эстель"" тон 156 бургундский";кг;1;
;008617     ;100;"Основа ""Эстель"" Блонд";кг;1;
;008817     ;EL1/0;Основа LOVE  1/0 черный;кг;1;
;008818     ;EL4/7;Основа LOVE  4/7 мокко;кг;1;
;008819     ;EL5/5;Основа LOVE 5/5 ;кг;1;
;008820     ;EL5/56;Основа LOVE 5/56 ;кг;1;
;008821     ;EL5/6;Основа LOVE 5/6 божоле;кг;1;
;008822     ;EL5/65;Основа LOVE 5/65 спелая вишня;кг;1;
;008823     ;EL5/7;Основа LOVE 5/7 шоколад;кг;1;
;008824     ;EL6/4;Основа LOVE 6/4 каштан;кг;1;
;008825     ;EL6/43;Основа LOVE 6/43 коньяк;кг;1;
;008826     ;EL6/5;Основа LOVE 6/5 бордо;кг;1;
;008827     ;EL6/56;Основа LOVE 6/56 ;кг;1;
;008828     ;EL6/74;Основа LOVE 6/74 темный каштан;кг;1;
;008829     ;EL6/75;Основа LOVE 6/75 палисандр;кг;1;
;008830     ;EL7/1;Основа LOVE 7/1 пепельно-русый;кг;1;
;008831     ;EL7/4;Основа LOVE 7/4 тициан;кг;1;
;008832     ;EL7/5;Основа LOVE 7/5 рубин;кг;1;
;008833     ;EL7/54;Основа LOVE 7/54 пламя;кг;1;
;008834     ;EL7/7;Основа LOVE 7/7 лесной орех;кг;1;
;008835     ;EL7/71;Основа LOVE 7/71 коричневый перламутр ;кг;1;
;008836     ;EL8/0;Основа LOVE 8/0 светло-русый;кг;1;
;008837     ;EL8/4;Основа LOVE 8/4 янтарный;кг;1;
;008838     ;EL8/5;Основа LOVE 8/5 гранатово-красный;кг;1;
;008839     ;EL8/54;Основа LOVE 8/54 красная медь;кг;1;
;008840     ;EL8/7;Основа LOVE 8/7 корица;кг;1;
;008841     ;EL8/74;Основа LOVE 8/74 капуччино;кг;1;
;008842     ;EL10/0;Основа LOVE 10/0 блондин платиновый;кг;1;
;008843     ;EL10/1;Основа LOVE 10/1 блондин серебристый;кг;1;
;008844     ;EL10/34;Основа LOVE 10/34 блондин солнечный;кг;1;
;008845     ;EL10/65;Основа LOVE 10/65 блондин жемчужный;кг;1;
;008846     ;EL10/73;Основа LOVE 10/73 блондин бежевый;кг;1;
;008893     ;601;"Основа ""ESTEL ONLY LOOKS"" тон 601 черный ";кг;1;
;008894     ;602;"Основа ""ESTEL ONLY LOOKS"" тон 602 коричневый";кг;1;
;008895     ;603;"Основа ""ESTEL ONLY LOOKS"" тон 603 иссиня-черный";кг;1;
;008896     ;604;"Основа ""ESTEL ONLY LOOKS"" тон 604 графит";кг;1;
2000002513155;008941     ;;Краситель катионный красный 4G;кг;1;
2000002513162;008942     ;;Краситель катионный красный GTL;кг;1;
2000002513179;008943     ;;Краситель катионный красный RP;кг;1;
2000002513186;008944     ;;Краситель катионный красный 5B (200%);кг;1;
2000002513193;008945     ;;Краситель катионный синий FRL;кг;1;
2000002512554;008981     ;;Экстракт ромашки (пропиленгликолевый);кг;1;
2000002416685;008999     ;;Глуадин (Gluadin WLM, Вит-теин НЛ, Вит Теин НПНФ, Протелан ID/G L);кг;1;
;009089     ;ОТ.50 водн; OT.50 OTIUM Pearl двухфазный спрей-уход, водная фаза;кг;1;
;009090     ;ОТ.50 орг; OT.50 OTIUM Pearl двухфазный спрей-уход, органическая фаза;кг;1;
2000002416968;009262     ;;Изогексадекан;кг;1;
;009322     ;PK/A;Основа 0/00 А Крем-краска PRINCESS ESSEX, аммиачный (Correct) (40);кг;1;
;009323     ;PK/N;Основа 0/00N Крем-краска PRINCESS ESSEX, нейтральный (Correct) (40);кг;1;
